ability_id,pokemon_id
117,460
028,063
039,063
046,359
105,359
093,617
060,617
176,681
069,142
046,142
005,306
069,306
050,190
053,190
028,065
039,065
131,594
093,594
030,334
174,698
101,424
053,424
027,591
009,181
004,347
022,024
061,024
022,059
018,059
121,493
129,566
129,567
068,168
015,168
004,348
131,683
005,304
069,304
046,144
131,531
144,531
174,699
020,713
115,713
079,610
104,610
026,482
047,184
037,184
047,298
037,298
069,371
026,343
015,354
119,354
181,689
097,689
012,339
107,339
120,550
091,550
069,550
091,550
005,411
065,153
081,614
068,267
068,015
140,606
028,606
029,374
034,182
034,069
020,712
115,712
086,400
109,400
086,399
109,399
181,688
097,688
128,625
039,625
067,009
066,257
030,242
032,242
031,522
078,522
005,525
005,438
069,438
120,626
157,626
066,654
051,628
125,628
027,286
090,286
026,437
085,437
026,436
085,436
030,406
038,406
033,418
065,001
050,427
103,427
053,659
167,659
061,412
014,012
008,331
008,332
040,323
116,323
029,703
026,455
116,565
005,565
024,318
061,268
059,351
019,010
030,251
018,609
049,609
030,113
032,113
066,006
066,004
066,005
051,441
077,441
122,421
034,420
065,652
065,650
065,152
066,390
026,358
010,170
035,170
026,433
056,573
101,573
075,366
178,692
178,693
026,344
056,036
098,036
056,035
098,035
056,173
098,173
075,091
092,091
154,638
152,563
118,415
066,256
062,534
125,534
052,341
075,341
055,222
030,222
158,546
151,546
021,346
104,408
052,342
075,342
026,488
107,453
087,453
039,169
067,159
005,558
075,558
026,615
081,613
069,104
031,104
066,155
123,491
125,555
055,554
167,702
053,702
034,585
157,585
055,633
056,301
096,301
072,225
055,225
066,655
046,386
047,087
093,087
067,502
046,483
029,719
053,660
167,660
008,050
071,050
007,132
050,085
048,085
050,084
048,084
005,232
099,680
038,691
143,691
061,148
039,149
004,452
097,452
061,147
106,426
084,426
106,425
084,425
146,529
159,529
015,096
108,096
024,621
125,621
051,580
145,580
008,051
071,051
032,206
050,206
142,578
098,578
068,632
055,632
046,356
046,477
026,355
019,269
005,557
075,557
026,603
026,604
050,133
091,133
022,023
061,023
009,125
078,466
009,309
031,309
043,101
009,101
009,239
140,605
028,605
066,500
009,587
067,395
046,244
068,589
075,589
028,196
051,677
151,677
146,530
159,530
034,102
034,103
043,295
051,083
039,083
051,022
033,349
012,349
066,653
067,160
160,597
160,598
033,456
114,456
009,180
166,669
018,136
049,662
145,661
033,419
166,670
166,671
026,330
027,590
005,205
079,611
104,611
011,592
130,592
067,656
067,657
081,478
169,676
050,162
051,162
008,444
080,475
014,596
127,596
001,569
133,569
008,445
028,282
036,282
026,092
060,423
114,423
088,649
026,094
069,074
005,074
008,443
005,526
039,203
048,203
046,487
